,Title,Date,Venue,Link
146,The Hard Aches,2024-01-12,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/ed94181b-1ed8-4aea-9d51-0f0f03ade5c7?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
147,THE WHISTLIN' DONKEYS (IRE),2024-01-12,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-whistlin-donkeys-ire/158734
148,Start Making Sense: Talking Heads Tribute,2024-01-12,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/70c19622-957d-4be5-a09a-15ba3616a947?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
149,ALLI AVENUE,2024-01-13,The Toff in Town,https://www.moshtix.com.au/v2/event/alli-avenue/159925
150,Candlebox (USA),2024-01-13,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/80db612d-be12-45da-aa48-00992571fdd4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
151,One Sixth & Discourse,2024-01-13,Northcote Social Club,https://tickets.oztix.com.au/outlet/event/0aaa4360-2fe5-4834-8ef3-df6ae94ad90d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
152,OFF! (USA),2024-01-14,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/c04b6e23-7081-4786-a21d-45dad71e7624?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
153,"‘Social Sanctuary’ with Laure Briard (FR), Sunfruits + Zoe Fox and the Rocket Clocks",2024-01-15,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/7831adaf-825a-4d57-b1d0-d4d1638daa4e?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
154,Peter Cat Recording Co. - Tour Of Oceania ‘24,2024-01-16,The Night Cat,https://www.moshtix.com.au/v2/event/peter-cat-recording-co-tour-of-oceania-‘24/158469
155,Bruno Major,2024-01-17,Forum Melbourne,/shows/show.aspx?sh=BRUNOMA24&v=FRM
156,Damage Inc - Ride 'Em All Tour,2024-01-19,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/0b5c7320-ac1c-4104-9c1d-44a112c713e4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
