,Title,Date,Venue,Link
62,Mr. McClelland's Finishing School Presents NOT NYE,2023-12-29,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/mr-mcclellands-finishing-school-presents-not-nye/159058
63,BEANS with Delivery and Hot Machine,2023-12-30,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/beans-with-delivery-and-hot-machine/159549
64,'Indie Pop Magic' ft. Sarah Light,2023-12-30,The Workers Club,https://tickets.oztix.com.au/outlet/event/f042e6f6-924d-453a-9a17-138eb2092fd6?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
65,Bon But Not Forgotten Celebrate AC/DC 50 Years (matinee),2023-12-31,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/46a8358c-c6da-405e-8966-b5b8fd394c57?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
66,NYE @ THE NIGHT CAT!  W/ JAZZPARTY & THE ROOKIES,2023-12-31,The Night Cat,https://www.moshtix.com.au/v2/event/nye-the-night-cat-w-jazzparty-the-rookies/159620
67,BONEZ Queer Party (NYE),2023-12-31,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/0952764b-603c-45c8-92a0-52ad452e51db?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
68,THE TOFF NYE PARTY!,2023-12-31,The Toff in Town,https://www.moshtix.com.au/v2/event/the-toff-nye-party/160196
69,MIDNIGHT DRIVER on NEW YEAR'S EVE,2023-12-31,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/midnight-driver-on-new-years-eve/159486
70,SUNDAYLICIOUS - MELBOURNE,2023-12-31,Northcote Theatre,https://www.moshtix.com.au/v2/event/sundaylicious-melbourne/156844
71,mclusky (UK),2024-01-02,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/979c473f-3c50-4cce-91e1-bb490cedb084?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
72,NOW.HERE.THIS. LIVE JAZZ,2024-01-02,The Toff in Town,https://www.moshtix.com.au/v2/event/now-here-this-live-jazz/160094
73,mclusky (UK),2024-01-03,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/09df9091-2b63-4230-893e-eaddd24da738?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
74,Burnt Bails,2024-01-03,The Workers Club,https://tickets.oztix.com.au/outlet/event/5053742d-3a38-46a8-8fb1-2e7592974727?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
75,The East Pointers (CAN),2024-01-04,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/19e24c20-1a58-4abd-a1e6-49898adadfbf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
76,ROMY - Club Mid Air - Australia 2024,2024-01-04,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/ee4dca4e-97e4-4a92-8b80-f93c21cfd3c2?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
